▲ Next.js 16.3.3 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://0.0.0.0:3000
✓ Ready in 879ms
✓ Running next.config.mjs took 67ms

 GET /@vite/client 404 in 59ms (next.js: 9ms, application-code: 50ms)
 GET / 200 in 90ms (next.js: 9ms, application-code: 82ms)
 GET /@vite/client 404 in 49ms (next.js: 11ms, application-code: 38ms)
 GET / 200 in 102ms (next.js: 9ms, application-code: 93ms)
 GET /@vite/client 404 in 67ms (next.js: 12ms, application-code: 55ms)
 GET / 200 in 82ms (next.js: 10ms, application-code: 73ms)
 GET /@vite/client 404 in 63ms (next.js: 11ms, application-code: 52ms)
 GET / 200 in 110ms (next.js: 26ms, application-code: 84ms)
 GET /@vite/client 404 in 60ms (next.js: 11ms, application-code: 50ms)
 GET / 200 in 80ms (next.js: 13ms, application-code: 67ms)
 GET /@vite/client 404 in 60ms (next.js: 11ms, application-code: 49ms)
 GET / 200 in 80ms (next.js: 11ms, application-code: 69ms)
 GET /@vite/client 404 in 48ms (next.js: 8ms, application-code: 39ms)
 GET / 200 in 89ms (next.js: 13ms, application-code: 76ms)
 GET /@vite/client 404 in 61ms (next.js: 10ms, application-code: 51ms)
 GET / 200 in 130ms (next.js: 14ms, application-code: 115ms)
 GET /@vite/client 404 in 63ms (next.js: 10ms, application-code: 54ms)
 GET / 200 in 87ms (next.js: 11ms, application-code: 76ms)
 GET /@vite/client 404 in 64ms (next.js: 10ms, application-code: 54ms)
 GET / 200 in 99ms (next.js: 7ms, application-code: 92ms)
 GET /@vite/client 404 in 76ms (next.js: 10ms, application-code: 66ms)
 GET / 200 in 105ms (next.js: 14ms, application-code: 91ms)
 GET /@vite/client 404 in 77ms (next.js: 12ms, application-code: 65ms)
 GET / 200 in 100ms (next.js: 18ms, application-code: 82ms)
 GET /@vite/client 404 in 78ms (next.js: 11ms, application-code: 67ms)
 GET / 200 in 156ms (next.js: 26ms, application-code: 131ms)
 GET /@vite/client 404 in 69ms (next.js: 11ms, application-code: 58ms)
 GET / 200 in 77ms (next.js: 7ms, application-code: 70ms)
 GET /@vite/client 404 in 63ms (next.js: 14ms, application-code: 50ms)
 GET / 200 in 95ms (next.js: 10ms, application-code: 85ms)
 GET /@vite/client 404 in 64ms (next.js: 11ms, application-code: 53ms)
 GET / 200 in 89ms (next.js: 16ms, application-code: 73ms)
 GET /@vite/client 404 in 67ms (next.js: 12ms, application-code: 55ms)
 GET / 200 in 85ms (next.js: 15ms, application-code: 70ms)
 GET /@vite/client 404 in 62ms (next.js: 12ms, application-code: 50ms)
 GET / 200 in 88ms (next.js: 14ms, application-code: 74ms)
 GET /@vite/client 404 in 64ms (next.js: 10ms, application-code: 54ms)
 GET / 200 in 77ms (next.js: 8ms, application-code: 69ms)
 GET /@vite/client 404 in 61ms (next.js: 11ms, application-code: 50ms)
 GET / 200 in 76ms (next.js: 7ms, application-code: 70ms)
 GET /@vite/client 404 in 58ms (next.js: 10ms, application-code: 48ms)
 GET / 200 in 84ms (next.js: 6ms, application-code: 78ms)
 GET /@vite/client 404 in 60ms (next.js: 8ms, application-code: 52ms)
 GET / 200 in 71ms (next.js: 12ms, application-code: 58ms)
 GET /@vite/client 404 in 53ms (next.js: 9ms, application-code: 44ms)
 GET / 200 in 70ms (next.js: 9ms, application-code: 61ms)
 GET /@vite/client 404 in 56ms (next.js: 11ms, application-code: 45ms)
 GET / 200 in 85ms (next.js: 12ms, application-code: 73ms)
 GET /@vite/client 404 in 59ms (next.js: 13ms, application-code: 46ms)
 GET / 200 in 130ms (next.js: 7ms, application-code: 122ms)
 GET /@vite/client 404 in 76ms (next.js: 11ms, application-code: 64ms)
 GET / 200 in 63ms (next.js: 6ms, application-code: 57ms)
 GET /@vite/client 404 in 60ms (next.js: 12ms, application-code: 48ms)
 GET / 200 in 72ms (next.js: 8ms, application-code: 64ms)
 GET /@vite/client 404 in 106ms (next.js: 13ms, application-code: 93ms)
 GET / 200 in 59ms (next.js: 7ms, application-code: 52ms)
 GET /@vite/client 404 in 53ms (next.js: 10ms, application-code: 43ms)
 GET / 200 in 65ms (next.js: 7ms, application-code: 58ms)
 GET /@vite/client 404 in 59ms (next.js: 15ms, application-code: 44ms)
 GET / 200 in 88ms (next.js: 18ms, application-code: 70ms)
 GET /@vite/client 404 in 78ms (next.js: 18ms, application-code: 60ms)
 GET / 200 in 63ms (next.js: 6ms, application-code: 57ms)
 GET /@vite/client 404 in 67ms (next.js: 11ms, application-code: 56ms)
 GET / 200 in 97ms (next.js: 10ms, application-code: 87ms)
 GET /@vite/client 404 in 62ms (next.js: 14ms, application-code: 48ms)
 GET / 200 in 90ms (next.js: 10ms, application-code: 80ms)
 GET /@vite/client 404 in 63ms (next.js: 14ms, application-code: 49ms)
 GET / 200 in 102ms (next.js: 26ms, application-code: 75ms)
 GET /@vite/client 404 in 76ms (next.js: 17ms, application-code: 59ms)
 GET / 200 in 106ms (next.js: 25ms, application-code: 81ms)
 GET /@vite/client 404 in 66ms (next.js: 12ms, application-code: 55ms)
 GET / 200 in 189ms (next.js: 9ms, application-code: 180ms)
 GET /@vite/client 404 in 74ms (next.js: 16ms, application-code: 58ms)
 GET / 200 in 111ms (next.js: 14ms, application-code: 96ms)
 GET /@vite/client 404 in 68ms (next.js: 9ms, application-code: 59ms)
 GET / 200 in 102ms (next.js: 15ms, application-code: 87ms)
 GET /@vite/client 404 in 99ms (next.js: 16ms, application-code: 83ms)
 GET / 200 in 155ms (next.js: 10ms, application-code: 146ms)
 GET /@vite/client 404 in 249ms (next.js: 50ms, application-code: 200ms)
 GET / 200 in 118ms (next.js: 20ms, application-code: 98ms)
 GET /@vite/client 404 in 74ms (next.js: 12ms, application-code: 62ms)
 GET / 200 in 86ms (next.js: 8ms, application-code: 77ms)
 GET /@vite/client 404 in 67ms (next.js: 14ms, application-code: 53ms)
 GET / 200 in 85ms (next.js: 13ms, application-code: 72ms)
 GET /@vite/client 404 in 85ms (next.js: 12ms, application-code: 72ms)
 GET / 200 in 124ms (next.js: 34ms, application-code: 90ms)
 GET /@vite/client 404 in 192ms (next.js: 45ms, application-code: 147ms)
 GET / 200 in 87ms (next.js: 12ms, application-code: 75ms)
 GET /@vite/client 404 in 65ms (next.js: 11ms, application-code: 53ms)
 GET / 200 in 78ms (next.js: 10ms, application-code: 68ms)
 GET /@vite/client 404 in 66ms (next.js: 9ms, application-code: 57ms)
 GET / 200 in 104ms (next.js: 18ms, application-code: 86ms)
 GET /@vite/client 404 in 88ms (next.js: 12ms, application-code: 76ms)
 GET / 200 in 95ms (next.js: 11ms, application-code: 84ms)
 GET /@vite/client 404 in 72ms (next.js: 14ms, application-code: 58ms)
 GET / 200 in 99ms (next.js: 17ms, application-code: 83ms)
 GET /@vite/client 404 in 76ms (next.js: 14ms, application-code: 63ms)
 GET / 200 in 97ms (next.js: 9ms, application-code: 87ms)
 GET /@vite/client 404 in 89ms (next.js: 12ms, application-code: 77ms)
 GET / 200 in 84ms (next.js: 8ms, application-code: 77ms)
 GET /@vite/client 404 in 66ms (next.js: 19ms, application-code: 47ms)
 GET / 200 in 105ms (next.js: 13ms, application-code: 92ms)
 GET /@vite/client 404 in 151ms (next.js: 22ms, application-code: 128ms)
 GET / 200 in 97ms (next.js: 14ms, application-code: 84ms)
 GET /@vite/client 404 in 72ms (next.js: 9ms, application-code: 63ms)
 GET / 200 in 89ms (next.js: 11ms, application-code: 77ms)
 GET /@vite/client 404 in 62ms (next.js: 12ms, application-code: 50ms)
 GET / 200 in 87ms (next.js: 8ms, application-code: 78ms)
 GET /@vite/client 404 in 69ms (next.js: 12ms, application-code: 56ms)
 GET / 200 in 129ms (next.js: 47ms, application-code: 83ms)
 GET /@vite/client 404 in 164ms (next.js: 36ms, application-code: 128ms)
 GET / 200 in 102ms (next.js: 15ms, application-code: 87ms)
 GET /@vite/client 404 in 77ms (next.js: 31ms, application-code: 46ms)
 GET / 200 in 107ms (next.js: 9ms, application-code: 98ms)
 GET /@vite/client 404 in 57ms (next.js: 11ms, application-code: 46ms)
 GET / 200 in 141ms (next.js: 15ms, application-code: 126ms)
 GET /@vite/client 404 in 114ms (next.js: 15ms, application-code: 99ms)
 GET / 200 in 177ms (next.js: 13ms, application-code: 164ms)
 GET /@vite/client 404 in 122ms (next.js: 34ms, application-code: 88ms)
 GET / 200 in 136ms (next.js: 25ms, application-code: 110ms)
 GET /@vite/client 404 in 109ms (next.js: 17ms, application-code: 92ms)
 GET / 200 in 138ms (next.js: 21ms, application-code: 116ms)
 GET /@vite/client 404 in 131ms (next.js: 26ms, application-code: 105ms)
 GET / 200 in 304ms (next.js: 18ms, application-code: 285ms)
 GET /@vite/client 404 in 141ms (next.js: 23ms, application-code: 119ms)
 GET / 200 in 222ms (next.js: 94ms, application-code: 128ms)
 GET /@vite/client 404 in 117ms (next.js: 20ms, application-code: 98ms)
 GET / 200 in 325ms (next.js: 45ms, application-code: 280ms)
 GET /@vite/client 404 in 86ms (next.js: 15ms, application-code: 70ms)
 GET / 200 in 155ms (next.js: 11ms, application-code: 144ms)
 GET /@vite/client 404 in 153ms (next.js: 24ms, application-code: 129ms)
 GET / 200 in 236ms (next.js: 34ms, application-code: 202ms)
 GET /@vite/client 404 in 597ms (next.js: 196ms, application-code: 401ms)
 GET / 200 in 160ms (next.js: 28ms, application-code: 133ms)
 GET /@vite/client 404 in 132ms (next.js: 14ms, application-code: 118ms)
